Station Name,Latitude,Longitude,Elevation (m),Gravity (μGal),Uncertainty (μGal),Survey Date
3RDB,28.23467194,-16.6298307,2224.2171,978962537.95,58.72,2024/04/02
CAMI1,28.33027952,-16.5320114,1627.8385,979083693.35,91.73,2024/07/31
CAMI2,28.33115231,-16.52385337,1717.3973,979063955.34,95.71,2024/07/31
CAMI3,28.33688079,-16.50579751,1818.4715,979038406.19,96.85,2024/07/31
CAMI4,28.32786663,-16.5105177,1957.0007,979010782.08,96.99,2024/07/31
CAMI5,28.3197011,-16.51381376,2011.3112,978997896.13,97.05,2024/07/31
CAMI6,28.32061618,-16.5023996,2121.0476,978969308.95,95.01,2024/07/31
CAMI7,28.307786,-16.51819795,2302.5062,978924972.23,95.21,2024/07/31
CAMI8,28.28732827,-16.51274691,2233.0811,978949571.27,83.09,2024/07/31
CAMI9,28.297288,-16.5113629,2379.405,978907200.95,79.16,2024/07/31
CARA,28.30684047,-16.53620543,2263.927,978939944.43,60.45,2024/07/31
CHIP,28.37399983,-16.46387039,1946.8109,978989124.39,9.33,2024/04/02
FA00,28.28097303,-16.51485468,2222.5816,978952501.8,161.03,2024/05/03
FA01,28.28096989,-16.51502158,2222.7936,978952718.7,150.8,2024/05/03
FA02,28.28106794,-16.51519414,2223.4224,978952726.39,139.84,2024/05/03
FA03,28.28112094,-16.51530849,2223.8848,978952710.84,127.94,2024/05/03
FA04,28.28119048,-16.51546059,2225.1617,978952684.06,114.82,2024/05/03
FA05,28.28120412,-16.51555056,2225.3112,978952645.19,99.99,2024/05/03
FA06,28.28124865,-16.51566558,2225.4316,978952627.46,82.54,2024/05/03
FA07,28.28139301,-16.51597592,2226.5355,978952723.87,60.2,2024/05/03
FA08,28.28183549,-16.51678611,2234.1424,978950949.94,60.19,2024/05/09
FA09,28.27277251,-16.51624688,2197.4417,978953286.36,74.89,2024/05/09
FA10,28.25952427,-16.51998889,2080.8778,978974966.15,86.64,2024/05/09
FA11,28.27622511,-16.50894146,2146.0544,978961210.94,88.13,2024/05/09
FA12,28.26863323,-16.49589557,1782.4822,979036076.85,102.76,2024/05/09
FA13,28.25831285,-16.48456398,1390.7771,979116894.95,126.36,2024/05/09
FA14,28.26941109,-16.48100402,1433.6225,979111988.54,115.79,2024/05/09
FA15,28.25244423,-16.45984004,923.4725,979209524.38,149.81,2024/05/09
GUI00,28.30673864,-16.4364392,689.5296,979269452.56,298.17,2024/05/06
GUI01,28.32058094,-16.43988985,834.8216,979240873.99,284.21,2024/05/06
GUI02,28.31643457,-16.45811942,1376.7636,979126584.01,250.89,2024/05/06
GUI03,28.31872341,-16.4477863,1068.7221,979191510.73,258.98,2024/05/06
GUI04,28.34209186,-16.45900712,1496.8793,979107695.21,234.4,2024/05/06
GUI05,28.33991031,-16.45188898,1331.5884,979140159.58,233.88,2024/05/06
GUI06,28.33286698,-16.45398799,1209.9278,979166693.51,233.25,2024/05/06
GUI07,28.45425389,-16.32689807,625.4108,979282026.27,262.57,2024/05/08
GUI08,28.43513265,-16.34008908,667.7622,979272201.62,252.83,2024/05/08
GUI09,28.4112482,-16.34804163,535.9987,979291895.06,253.92,2024/05/08
GUI10,28.40469649,-16.36276197,525.2677,979297824.53,249.93,2024/05/08
GUI11,28.39123175,-16.39133992,674.3324,979269278.16,232.01,2024/05/08
GUI12,28.36295599,-16.39382735,405.1177,979325392.92,248.68,2024/05/08
GUI13,28.37273784,-16.40756124,761.7352,979252472.91,210.93,2024/05/08
GUI14,28.34175567,-16.43676986,842.8352,979241615.87,198.7,2024/05/08
GUI15,28.33499592,-16.4363083,818.9214,979246064.43,192.44,2024/05/08
GUI17,28.33046276,-16.44813599,1078.7116,979193801.88,161.13,2024/05/08
GUI18,28.32599541,-16.45814945,1391.9313,979126780.71,123.19,2024/05/08
GUI19,28.32841012,-16.42687064,599.306,979290187.49,188.33,2024/05/08
GUI20,28.30476937,-16.50154424,2380.9379,978903500.13,70.8,2024/06/03
GUI21,28.3026526,-16.49293235,2301.9061,978917248.94,80.07,2024/06/03
GUI22,28.29914265,-16.48964248,2188.9511,978945718.58,82.37,2024/06/03
GUI23,28.29901841,-16.47440855,1948.0342,978992063.79,83.44,2024/06/03
GUI24,28.29692713,-16.46006842,1698.602,979041236.25,88.91,2024/06/03
GUI25,28.29420659,-16.44759952,1446.5934,979091419.75,98.74,2024/06/03
GUI26,28.29289154,-16.43225012,1119.6539,979160276.51,120.38,2024/06/03
GUI30,28.31415774,-16.4956996,2228.2115,978942149.84,82.33,2024/10/07
GUI31,28.31632788,-16.47238923,1719.4983,979056359.41,104.58,2024/10/07
GUI32,28.31240911,-16.48017681,1837.4177,979031708.46,114.98,2024/10/07
GUI33,28.31464118,-16.48716295,1996.1881,978997196.67,125.62,2024/10/07
GUI34,28.32369081,-16.48473048,2093.4428,978970610.8,137.83,2024/10/07
IPNA_out,28.4795576,-16.32038175,607.7105,979297091.66,183.43,2024/04/03
IZAN,28.30915,-16.49975,2417.5,978891794.08,1.73,2024/05/09
LM001,28.29209641,-16.53970616,2334.4456,978930018.42,83.19,2024/04/02
LM002,28.28821323,-16.53995801,2349.5782,978926982.95,92.86,2024/04/02
LM003,28.28938782,-16.54212119,2336.9749,978929896.94,95.12,2024/04/02
LM005,28.28943726,-16.54642737,2334.4915,978930836.28,92.11,2024/04/02
LM006,28.28712044,-16.53803066,2360.8992,978922166.24,84.95,2024/04/02
LM007_G1,28.29254627,-16.54547421,2329.6835,978931005.83,61.5,2024/07/08
LM008_G3,28.29257337,-16.54496238,2329.1694,978931996.03,75.21,2024/07/08
LM009_G5,28.2926566,-16.54444768,2329.4437,978931986.41,82.06,2024/07/08
LM010_G7,28.29273856,-16.54395066,2329.6925,978931906.51,83.57,2024/07/08
LM011_G9,28.29282532,-16.54345617,2330.1468,978930877.03,80.21,2024/07/08
LM012_G11,28.29299981,-16.54295761,2331.2056,978930843.84,70.85,2024/07/08
LM013_G13,28.29307302,-16.54244497,2332.0551,978931036.73,60.94,2024/07/09
LM014_G15,28.29316032,-16.54194801,2332.2189,978930018.18,73.93,2024/07/09
LM015_G17,28.29327066,-16.54145801,2332.8884,978930021.47,78.92,2024/07/09
LM016_G19,28.29339071,-16.54096717,2332.7707,978929918.45,77.74,2024/07/09
LM017_G21,28.29351036,-16.54047798,2333.2784,978929851.71,70.02,2024/07/09
MI00,28.47066342,-16.37862302,808.2123,979259488.31,235.09,2024/05/10
MI01,28.4583392,-16.39391355,954.8621,979221088.04,214.0,2024/05/10
MI02,28.46050423,-16.4196125,812.3271,979248710.09,216.88,2024/05/10
MI03,28.44794533,-16.4197583,949.1081,979220139.11,198.19,2024/05/10
MI04,28.43965024,-16.43083415,953.9324,979213263.11,187.27,2024/05/10
MI05,28.45049732,-16.44162601,650.231,979278255.21,206.75,2024/05/10
MI06,28.43874897,-16.45138098,630.052,979282332.79,200.82,2024/05/10
MI07,28.4232184,-16.45561179,735.6161,979261668.42,182.62,2024/05/10
MI09,28.41547763,-16.47643061,655.6547,979276585.36,181.31,2024/05/10
ORO00,28.41082329,-16.54524137,132.3808,979395668.62,244.01,2024/10/13
ORO01,28.41536812,-16.51660529,157.5572,979390001.05,289.06,2024/10/13
ORO02,28.40462226,-16.51408114,275.4016,979364358.99,271.97,2024/10/13
ORO03,28.40294173,-16.50103401,626.6807,979283596.19,230.9,2024/10/13
ORO04,28.37892976,-16.49969958,798.3055,979257983.77,213.18,2024/10/13
ORO05,28.38133508,-16.53259123,463.0432,979328845.53,237.11,2024/10/13
ORO06,28.38841739,-16.54054454,335.4242,979354393.67,242.58,2024/10/13
ORO07,28.40602037,-16.53143233,214.1562,979379976.04,248.77,2024/10/13
ORO08,28.41525923,-16.5286559,127.1123,979397669.8,251.49,2024/10/13
